id,title,wage,vessel_type,vessel_name,start_date,contract_duration,trading_region,info_text
471578,2nd Engineer,$ 8 100 per month,Container Ship,,15/01/2025,4 months,,
461981,4th Engineer,$ 2 930 per month,Bulk Carrier,,01/12/2024,6 months,,"
Information about vacancy 4th Engineer (for Bulk Carrier):
Розглянемо кандидата в СТАРТ!Обов'язково мати досвід моториста 1-го класу.Надсилайте свою анкету на Viber +38066 416 06 91 
"
473115,Chief Officer,$ 10 500 per month,LPG / LNG,,30/11/2024,4 months,Worldwide,"
Information about vacancy Chief Officer (for LPG / LNG):
Urgent opening on VLGC Carrier. 
"
471128,3rd Officer,Salary Negotiable,Container Ship,,25/11/2024,6 months,Cyprus,
468923,3rd Officer,$ 4 200 per month,Passenger vessel,,04/01/2025,4 months,,
472587,3rd Officer,$ 3 700 per month,Crude Oil Tanker,,05/12/2024,4 months,Palau,"
Information about vacancy 3rd Officer (for Crude Oil Tanker):
Lapa Spb is searching for 3O for Crude Oil Tanker.ETJ beg-mid of Dec, salary 3400-3500 Euro dep on exp, SEA duration is 4 (+-1) m.We will consider well-experienced 3Os.Applications should be sent to Apply via Maritime Zone or call +79219322405 ONLY RUSSIAN CITISENS
"
470040,Wiper,$ 1 400 per month,Container Ship,,25/11/2024,3 months,,"
Information about vacancy Wiper (for Container Ship):
WIPERContainer DWT 8900 / 750 TEUsJoining: End of November / week 48Contract: 3 months +/-1mSalary: Apply via Maritime Zone EURGood EnglishExperience in rank
"
474003,3rd Officer,$ 2 900 per month,Dry Cargo,,03/12/2024,6 months,,"
Information about vacancy 3rd Officer (for Dry Cargo):
+37068998730Apply via Maritime Zone
"
465242,Chief Officer,$ 12 500 per month,LPG / LNG,,10/01/2025,3 months,Switzerland,"
Information about vacancy Chief Officer (for LPG / LNG):
English fluent 3 years in rank - minimum requirement for this vsl+7 999 211 21 60 - WhatsApp
"
471651,Cook,$ 2 379 per month,Bunkering Vessel,,11/12/2024,3 months,,
471344,Messman,$ 1 350 per month,RO-RO,,28/11/2024,6 months,,
473379,Ship Security Officer,$ 1 844 per month,Passenger vessel,,29/11/2024,6 months,,"
Information about vacancy Ship Security Officer (for Passenger vessel):
Requirements:  • !!!!!!!""SECURITY GUARD  (Female)""!!!!!!!• USA VISA• Good English• Similar experience on rank and vessel type • Salary 1844 USD• Contract Duration (6 +/- 1 month) I will answer all your questions via WhatsApp or TelegramPlease send your CV`s to my WhatsApp or e-mail: Tel: + 380632835158 (Dmytro)e-mail: Apply via Maritime Zone
"
468165,Chief Officer,$ 6 500 - $ 6 900 per month,Bulk Carrier,Worldwide,22/11/2024,6 months,Liberia,"
Information about vacancy Chief Officer (for Bulk Carrier):
Возможно рассмотрение в старт.Уважаемые моряки, прошу обратить внимание, что РАССМАТРИВАЮТСЯ ДЛЯ ТРУДОУСТРОЙСТВА ТОЛЬКО УКРАИНЦЫ!!!Предпочтительно для тех моряков, которые находятся за границей. Или на территории Украины с правом выезда. Отклики на вакансию оставляйте по номеру. Tel.: 0660249033 Vladislava (Viber, WhatsApp,Telegram)
"
467290,Chief Officer,Salary Negotiable,Heavy lift vessel,,10/01/2025,4 months,,"
Information about vacancy Chief Officer (for Heavy lift vessel):
Rank: Chief OfficerContract: 4+/-1 monthsEmbarkation: Apply via Maritime ZoneType: HEAVY LIFTDwt: 25733Engine Model: MAN B&W 6S40ME-B9
"
457626,2nd ETO,$ 10 206 per month,Passenger vessel,,01/12/2024,4 months,United States of America,
471714,OS,Salary Negotiable,General cargo,,31/12/2024,6 months,,"
Information about vacancy OS (for General cargo):
Requirements: • Schengen Visa• ONLY with crane driver exp!!!• Good English• Similar experience on rank and vessel type  • Contract Duration (6 month)I will answer all your questions via WhatsApp or TelegramPlease send your CV`s to my WhatsApp or e-mail: Tel: + 380632835158 (Dmytro)e-mail: Apply via Maritime Zone
"
473729,3rd Officer,$ 2 700 per month,General cargo,,10/01/2025,4 months,Malta,"
Information about vacancy 3rd Officer (for General cargo):
• Duration - 4(+-1) months• Type of vessel - GENERAL CARGO 8100 DWT• Location – Mediterranean Sea• Schengen visa mandatoryНаши контакты:Apply via Maritime ZoneOffice - +380 (48) 737 55 33WhatsApp / Viber / Telegram - +380 (63) 73 755 33  +380 (95) 737 55 33
"
470806,Chief Officer,$ 7 700 per month,Bulk Carrier,,03/01/2025,4 months,Liberia,"
Information about vacancy Chief Officer (for Bulk Carrier):
Good english, expreience on similar Bulk Carriers requiredMix crew
"
470555,Chief Engineer,$ 10 000 - $ 10 500 per month,Container Ship,,20/11/2024,4 months,,"
Information about vacancy Chief Engineer (for Container Ship):
Possible start / ASAP .
"
468866,Oiler,$ 1 770 - $ 2 000 per month,Crude Oil Tanker,,20/11/2024,6 months,Greece,
469324,2nd Officer,$ 3 400 per month,Container Ship,,20/11/2024,6 months,Liberia,"
Information about vacancy 2nd Officer (for Container Ship):
MACHS-3 familiar/ experienced
"
473904,4th Engineer,$ 4 200 per month,Crude Oil Tanker,,25/11/2024,4 months,Liberia,"
Information about vacancy 4th Engineer (for Crude Oil Tanker):
looking for Ukrainian crew Minimum 6 month(s) experience as 4th Engineer / vessel trading in High Risk Area 
"
471939,Chief Engineer,$ 350 per day,Accommodation barge,,27/11/2024,2 months,,"
Information about vacancy Chief Engineer (for Accommodation barge):
VSL’s type – NON PROPELLED ACCOMMODATION BARGE; Wages – 350 USD per day; Contract Duration: 60 +/- 30 days; Area of sailing – UAE; Join date – ASAP; Comments: The candidate must hold Chief Engineer’s License. Minimum obligatory experience – 24 months actual on board  on Offshore vessels in the rank of Chief Engineer (6 months on similar type of vessels); ADNOC approved candidates are preferable. Please apply with: 1. Updated CV with details of sea service; 2. COC and Endorsement and all valid STCW certificates; 3. Passport copy; 4. Seaman’s book copies of all pages with details of sea service evidence of each vessel as detailed on CV; 5. References from previous employers; 6. Medical certificate. Candidates must be fully vaccinated against Covid-19. Apply via Navis Telegram Channel (NTC) Apply via Maritime Zone or get hired faster please fill in application form online on our website: 
"
459546,ETO,$ 240 - $ 250 per day,AHTS,,03/12/2024,3 months,,
472616,2nd Engineer,Salary Negotiable,Container Ship,,15/01/2025,4 months,Liberia,"
Information about vacancy 2nd Engineer (for Container Ship):
We look for a  2nd Engineer    able to join a Container vessel  (2013 year built; flag Liberia;  GRT 96628  / DWT 116384;   8600TEU, Main Engine : Doosan MAN-B&W 2SCSA 9-Cyl 9S90ME-C ; 2 Str; 47430 kwt /63604hp)  at the mid of January.  International crew on board. Conditions of employment:   4 months contract;  the proposed  monthly wages  - negotiable.  Requirements: -   rank  and large container vsl experience-   experience with  MAN ME  main engineIf interested, and can meet the above requirements, please apply  with your latest CV. 
"
470781,2nd Engineer,Salary Negotiable,Crude Oil Tanker,,25/11/2024,4 months,,"
Information about vacancy 2nd Engineer (for Crude Oil Tanker):
Rank: 2ND ENGINEERContract: 4+-1 monthsEmbarkation: Apply via Maritime ZoneType: CRUDE OIL TANKERDwt: 150249FlagName: CAYMAN ISLANDSEngine Model: SULZER 6RTA72U
"
472246,3rd Officer,$ 3 000 per month,Bulk Carrier,,28/11/2024,4 months,,"
Information about vacancy 3rd Officer (for Bulk Carrier):
3rd OffBulk CarrierJoining about end November.Wage Apply via Maritime Zone usd.Contract period 4+2 months.Good EnglishExperience in rank
"
473007,Cook,$ 2 000 per month,General cargo,,12/12/2024,4 months,Netherlands,"
Information about vacancy Cook (for General cargo):
Wages in Euro negotiable. Good English requested. Work in galley and on deck. Trading area Europe
"
471190,ETO,$ 6 000 - $ 7 000 per month,Container Ship,,10/12/2024,5 months,,"
Information about vacancy ETO (for Container Ship):
ETOContainer Vessels 1000-20000 TEUs6000-7000 USD5+/-1 mExperience in rankApply via Maritime Zone
"
473142,Master,$ 10 250 per month,Container Ship,,07/01/2025,4 months,,"
Information about vacancy Master (for Container Ship):
URGENTLY LOOKING FOR CAPTAIN WITH US VISA TO JOIN CONTAINERSHIP  WAGES: 10250 USD CONTRACT: 4+/-1 MONTHS JOINING: BEG JAN VESSEL: CONTAINER DWT: Apply via Maritime Zone /  TEU ME: WARTSILA 2-STROKE 7RT-FLEX82C – YEAR OF BUILD: 2010, GERMANY CREW ONBOARD: EASTERN EUROPEAN, FILIPINOS  MINIMUM REQUIREMENTS: - GOOD ENGLISH - US VISA
"
471485,OS,$ 1 210 per month,Bulk Carrier,Worldwide,19/01/2025,6 months,Liberia,
473512,Bar Supervisor,$ 1 593 per month,Passenger vessel,,22/11/2024,6 months,,
473841,Master,Salary Negotiable,Passenger vessel,,30/11/2024,4 months,,"
Information about vacancy Master (for Passenger vessel):
WITH Mediterr anean passage expITALIAN, GREECE NATIONALITIES OR CANDIDATES FROM COMPANY: Star Cruises, PacificI will answer all your questions via WhatsApp or TelegramPlease send your CV`s to my WhatsApp: Tel: +380961936820
"
472753,El. Eng. Assistant,$ 2 000 per month,Bulk Carrier,,07/12/2024,4 months,,"
Information about vacancy El. Eng. Assistant (for Bulk Carrier):
Attractive Salary Package ;Time to Start;Promotion Prospects
"
464687,Master,$ 9 500 - $ 11 500 per month,Container Ship,,20/11/2024,6 months,,"
Information about vacancy Master (for Container Ship):
MasterContainer Vessels 10 000 – 25000 TEUsSalary: 9500-11500 USD or more (upon experience)Good EnglishExperience in rankApply via Maritime Zone
"
472303,Chief Officer,$ 10 000 per month,LPG / LNG,,25/11/2024,4 months,,"
Information about vacancy Chief Officer (for LPG / LNG):
Ammonia Carrier;Promotion Prospects;Internet Facility on board
"
471606,Chief Engineer,Salary Negotiable,Container Ship,,19/11/2024,4 months,Liberia,
470914,Chief Officer,$ 5 000 per month,General cargo,North Sea,25/11/2024,4 months,Cyprus,"
Information about vacancy Chief Officer (for General cargo):
+380 (66) 240 42 95Apply via Maritime Zone
"
474054,Chief Officer,Salary Negotiable,Chemical tanker,,04/12/2024,4 months,Liberia,"
Information about vacancy Chief Officer (for Chemical tanker):
Greetings to the esteemed sailors who are considering this position! My name is Serhii I from Dese Crew Management and I want to propose to you this vacancy:• Rank: Chief Officer • Vessel type: Chemical Tanker • DWT: 19 900• Year Built: 2006• Flag: Liberia• Salary: PER EXPERIENCE• Contract duration: 4+-1 months• Joining date: TBN NOTE: Chemical and petroleum experience.____________________________________________________________REQUIREMENTS: - Good English, experience on vessels of the same type and similar DWT.______________________________________________________________I will answer all your questions via WhatsApp or TelegramPlease send your CV`s to my WhatsApp or my Email:Tel: +380995517593Email: Apply via Maritime Zone
"
473791,3rd Engineer,$ 6 900 per month,Passenger vessel,,06/12/2024,2 months,,"
Information about vacancy 3rd Engineer (for Passenger vessel):
Candidate should have immunisations/ TB test (skin or blood test only)
"
470447,AB Seaman,$ 1 700 per month,Bulk Carrier,,25/11/2024,5 months,,"
Information about vacancy AB Seaman (for Bulk Carrier):
AB for BulkerFree EmploymentJoining Date: 25-30/11/2024Duration: 5+/-3 monthsSalary: 1700 USDCrew: Ukrainian DWT: 64000E-mail for your application:Apply via Maritime ZoneTelephone+38 (050) 482-83-10Join our telegram
"
472180,4th Engineer,$ 3 125 per month,Container Ship,,20/11/2024,6 months,Portugal,
466593,Fitter / Welder,$ 2 306 per month,Container Ship,,01/12/2024,6 months,,"
Information about vacancy Fitter / Welder (for Container Ship):
WE ARE LOOKING FOR UKRAINIAN CREW WHO ARE CURRENTLY ABROAD !POSITION OF FTR IS OPEN!PLEASE CONTACT US !Type of the vessel : ContainerDuration of the contract : 6 +/-1mnthSalary : 2306$ / mnthEnglish is required.Tel.: +38 093 116 52 17 (ONLY VIBER, WHATSAPP, TELERGRAM), pic : Veronica,Apply via Maritime Zone
"
469373,Master,$ 450 per day,AHTS,,20/11/2024,2 months,,"
Information about vacancy Master (for AHTS):
VSL’s type – AHTS DP2; Wages – 450 USD per day; Contract Duration: 60 +/- 30 days; Area of sailing – UAE; Join date – ASAP; Comments: The candidate must hold Master Unlimited License and DP Full certificate. Minimum obligatory experience – 24 months on similar type of vessels actual on board in the rank of Master/SDPO and 1000 active DP hours; ADNOC approved candidates are preferable. Please apply with: 1. Updated CV with details of sea service; 2. COC and Endorsement and all valid STCW certificates; 3. Passport copy; 4. Seaman’s book copies of all pages with details of sea service evidence of each vessel as detailed on CV; 5. References from previous employers; 6. Medical certificate. Candidates must be fully vaccinated against Covid-19. Apply via Navis Telegram Channel (NTC) Apply via Maritime Zone or get hired faster please fill in application form online on our website: 
"
472495,3rd Officer,$ 3 800 per month,Crude Oil Tanker,,10/12/2024,5 months,Vietnam,
470152,ETO,$ 6 500 per month,Oil Products Tanker,Far East,25/11/2024,5 months,Liberia,
468132,Chief Officer,$ 7 400 per month,Bulk Carrier,,05/12/2024,5 months,,"
Information about vacancy Chief Officer (for Bulk Carrier):
GOOD ENGLISH, EXPERIENCE+380974841783 viber
"
461885,Chief Engineer,$ 8 000 per month,General cargo,North Sea,20/11/2024,4 months,Portugal,"
Information about vacancy Chief Engineer (for General cargo):
Engine room: ce + we
"
471186,OS,$ 1 200 per month,Container Ship,,10/12/2024,6 months,,"
Information about vacancy OS (for Container Ship):
OSContainer Vessels 1000-20000 TEUs1200 USD6+/-1 mExperience in rankApply via Maritime Zone
"
473011,2nd Officer,$ 3 732 per month,Coaster,Baltic Sea,18/12/2024,3 months,Cyprus,
467951,Chief Engineer,$ 13 500 per month,LPG / LNG,,05/12/2024,4 months,Cyprus,"
Information about vacancy Chief Engineer (for LPG / LNG):
Position – CH ENGType – LPG TankerDwt - 9500Apply via Maritime Zone. 2004Flag - Cyprus.  EuropeM/e MAKFull Crew in ERCoe – 4 monthsSalary – 13500 usdAge limite till 55English level - goodJoining – DecemberRemark:  Рассмотрим в Старт, в должность CH ENG..А так-же старт на газовозы по наличию документов.
"
472250,2nd Officer,$ 4 000 - $ 4 500 per month,Bulk Carrier,,24/11/2024,5 months,Cyprus,"
Information about vacancy 2nd Officer (for Bulk Carrier):
2nd Officer to Bulk carrier CapesizeYOB: 2014DWT: 175877 tBuilder: Korea Salary: 4000-4500$  or equivalent in EuroContract: 4+2 months Joining: NovemberRequirements: min 12 months in rank experience on same type of vessel, Good English
"
463441,ETO,$ 6 100 per month,Bulk Carrier,,10/12/2024,4 months,,"
Information about vacancy ETO (for Bulk Carrier):
Experience wih ME type of engines.  Ukrainian nationality.
"
473912,Chief Engineer,$ 9 300 per month,Bulk Carrier,,03/12/2024,4 months,,"
Information about vacancy Chief Engineer (for Bulk Carrier):
We are inviting candidates from UKRAINIAN, RUSSIAN ,GEORGIAN, GREEK to join our team.Requirements: •	Candidates should have good English and be ready to pass CES test•	Candidates should have min 4 contracts in rank and SAME dwt, SAME type of vessel. •	Max age 55 years•	All candidates should have no more than 3 SHIPOWNERS (not agency) during last 5-7 contracts.•	All candidates should not be ashore for more than 1 year.•	 I am ready to answer all your questions via WhatsApp.•	 Please send your CV to my WhatsApp: +380961576853•	 Email: Apply via Maritime Zone•	Join our team – we are waiting for you!
"
454677,2nd Officer,$ 4 100 - $ 4 300 per month,Container Ship,,20/11/2024,5 months,Cyprus,"
Information about vacancy 2nd Officer (for Container Ship):
We look for a 2nd Officer to join Container Ship (1147 TEU/ 2008 yb., Flag - Cyprus, DWT 12545, 2 Cranes of 30 tonnes SWL) in the end of November. The proposed conditions: 5 months contract (+-1), wage -starting from 4100 USD (additional bonuses applicable depending on experience and higher license availability). Caribbean seas trading. International crew on board (Russian/Ukrainian officers, Filipino ratings). Requirements: rank and container vessel experience, good English 
"
459045,ETO,$ 6 200 - $ 6 700 per month,Container Ship,,01/12/2024,4 months,Portugal,
465983,Boatswain,$ 1 600 per month,Oil Products Tanker,Black Sea,30/11/2024,4 months,Tanzania,"
Information about vacancy Boatswain (for Oil Products Tanker):
• Duration - 4(+-1) months• Type of vessel - Oil Tanker 3000 dwt• Owners - Ukraine️ Верификация на руках️ Обновленные данные в РЕЗЕРВ+️ Возможен СТАРТ в должности!️ Experience - TankerНаши контакты:Apply via Maritime ZoneOffice - +380 (48) 737 55 33 WhatsApp / Viber / Telegram - +380 (63) 73 755 33
"
464691,ETO,$ 6 300 per month,Container Ship,,19/11/2024,4 months,,"
Information about vacancy ETO (for Container Ship):
Rank: ETO for Container Ship 91000 dwt, 2007yMix crewWages: 6300 per monthContract duration: 4 monthsEmbarkation date: Apply via Maritime ZoneRequirements: Exp in rank, English knowledgeSend CVs to Tel:+38 063 946 23 07+38 063 482 32 30+38 098 106 11 47
"
470778,Chief Officer,Salary Negotiable,Oil Products Tanker,,25/11/2024,4 months,,"
Information about vacancy Chief Officer (for Oil Products Tanker):
Rank: CHIEF OFFICERContract: 4 monthsEmbarkation: Apply via Maritime ZoneType: OIL TANKDwt: 158555FlagName: MARSHALL ISLANDS
"
473857,Master,$ 14 700 per month,Chemical tanker,,30/11/2024,3 months,,
473504,Chief Engineer,$ 8 500 per month,RO-RO,,20/11/2024,3 months,,
471169,ETO,Salary Negotiable,Bulk Carrier,,28/11/2024,5 months,,"
Information about vacancy ETO (for Bulk Carrier):
ETO or ETRBulk CarrierJoining NovemberWage negotiableCrew mixGood EnglishExperience in rankApply via Maritime Zone
"
473154,3rd Engineer,$ 4 000 per month,Bulk Carrier,,22/11/2024,4 months,,"
Information about vacancy 3rd Engineer (for Bulk Carrier):
URGENTLY LOOKING FOR 3RD/ENGINEER TO JOIN BULK CARRIER  WAGES: 4000 USD CONTRACT: 4+/-1 MONTHS JOINING: MID NOV VESSEL: BULK DWT: 44314  ME: MAN B. & W. Apply via Maritime Zone  –  YEAR OF BUILD: 2001, CROATIA CREW ONBOARD: EASTERN EUROPE, FILIPINOS  MINIMUM REQUIREMENTS: - GOOD ENGLISH - EXPERIENCE MIN. 1 CONTR.
"
472196,OS,$ 1 244 per month,Ferry,Mediterranean Region,20/11/2024,6 months,Cyprus,
468962,4th Engineer,$ 3 500 - $ 3 800 per month,LPG / LNG,,21/11/2024,6 months,United Arab Emirates,"
Information about vacancy 4th Engineer (for LPG / LNG):
START ASAP
"
469220,Chief Engineer,$ 11 000 - $ 13 000 per month,LPG / LNG,,25/11/2024,4 months,,"
Information about vacancy Chief Engineer (for LPG / LNG):
FOR UKRAINIANS ONLYPlease contact me via WA +380666990553
"
470001,3rd Engineer,$ 3 800 per month,Bulk Carrier,Worldwide,15/12/2024,6 months,Marshall Islands,
464412,Chief Engineer,Salary Negotiable,Heavy lift vessel,,05/01/2025,4 months,,"
Information about vacancy Chief Engineer (for Heavy lift vessel):
Rank: CHIEF ENGINEERContract: 4+/-1 monthsEmbarkation: Apply via Maritime ZoneType: HEAVY LIFTDwt: 32279Engine Model: SULZER WARTSILA 7RT-flex50
"
474042,3rd Engineer,$ 3 660 per month,RO-RO,,03/12/2024,4 months,,"
Information about vacancy 3rd Engineer (for RO-RO):
USA-VISA!!!RO-RODWT: 15000- 40000tFOR DRY FLEET (BULK, CONTAINER, RO-RO)FOR ALL RANKS – 12 MONTHSPlease send your CV`s to my WhatsApp or Email; Apply via Maritime Zone I will answer all your questions via WhatsApp or Telegram: Tel. +380 93 545 0791
"
471610,Chief Engineer,Salary Negotiable,Container Ship,,19/11/2024,4 months,Portugal,
473338,2nd Engineer,$ 7 000 - $ 8 000 per month,Container Ship,,06/12/2024,5 months,,"
Information about vacancy 2nd Engineer (for Container Ship):
Возможен старт в должности и переход с другого типа судна!Отправляйте анкету на WhatsApp +380639490001 Марк.
"
471305,3rd Engineer,$ 3 054 per month,General cargo,,25/11/2024,6 months,Norway,
473768,2nd Engineer,Salary Negotiable,Construction vessel,Worldwide,25/11/2024,5 months,Liberia,
472179,4th Engineer,$ 3 125 per month,Container Ship,,20/11/2024,6 months,,
472483,Chief Officer,$ 12 000 - $ 13 500 per month,Jack-up Vessel,,20/12/2024,2 months,,"
Information about vacancy Chief Officer (for Jack-up Vessel):
We are searching for:CHIEF OFFICER for Jack UP SP- LOCATION: Persian Gulf (ADNOC)- ROTATION: 2/2- SALARY: 400-450 USD per day- JOIN DATE: December 2024Marlins Test not less than 80% on each position is a must, age limit 50 y/o.If you CV is suitable our team will contact you.When applying the CV pls indicate in the theme of your email - the Position you have applied for.Please send CVs on our email address: Apply via Maritime ZoneFor more information please contact us by phone +38 (099) 191-11-40 (WhatsApp)
"
473945,Master,$ 14 500 per month,VLCC,,05/12/2024,4 months,,"
Information about vacancy Master (for VLCC):
We are inviting candidates from UKRAINIAN, RUSSIAN ,GEORGIAN, GREEK to join our team.Requirements: •	Candidates should have good English and be ready to pass CES test•	Candidates should have min 5-6 contracts in rank and SAME dwt, SAME type of vessel. •	Max age 55-57 years•	All candidates should have no more than 2 SHIPOWNERS (not agency) during last 5-7 contracts.•	All candidates should not be ashore for more than 1 year.•	 I am ready to answer all your questions via WhatsApp.•	 Please send your CV to my WhatsApp: +380961576853•	 Email: Apply via Maritime Zone•	Join our team – we are waiting for you!
"
472207,3rd Engineer,$ 3 000 per month,RO-RO,,01/12/2024,6 months,Panama,
471581,Master,$ 10 500 per month,Container Ship,,24/11/2024,4 months,Marshall Islands,
461978,3rd Officer,$ 2 200 per month,Bulk Carrier,,11/12/2024,6 months,,"
Information about vacancy 3rd Officer (for Bulk Carrier):
старт в должности
"
473046,Chief Officer,Salary Negotiable,Heavy lift vessel,,15/12/2024,4 months,,"
Information about vacancy Chief Officer (for Heavy lift vessel):
Rank: CHIEF OFFICERContract: 4+/-1 monthsEmbarkation: Apply via Maritime ZoneType: HEAVY-LIFTDwt: 18703TEU: 969Engine Model: SULZER WARTSILA 6RTA48T
"
473103,ETO,Salary Negotiable,AHTS,,29/11/2024,3 months,,"
Information about vacancy ETO (for AHTS):
VSL’s type – AHTS DP2; Contract Duration: 90 +/-30 days; Area of sailing – Qatar/Congo/Cameroon; Join date – ASAP; Comments: The candidate must hold Electro Technical Officer’s License and DP Maintenance Certificate; Minimum obligatory experience – 12 months on similar types of vessels actual on board in the rank of ETO; Please apply with: 1. Updated CV with details of sea service; 2. COC and Endorsement and all valid STCW certificates; 3. Passport copy; 4. Seaman’s book and DP Log Book copies of all pages with details of sea service evidence of each vessel as detailed on CV; 5. References from previous employers; 6. Medical certificate; Candidates must be fully vaccinated against Covid-19. Apply via Navis Telegram Channel (NTC) Apply via Maritime Zone or get hired faster please fill in application form online on our website: 
"
471094,2nd Engineer,$ 7 993 - $ 8 215 per month,Container Ship,,20/12/2024,4 months,,"
Information about vacancy 2nd Engineer (for Container Ship):
WE ARE LOOKING FOR UKRAINIAN CREW WHO ARE CURRENTLY ABROAD !POSITION OF 2E IS OPEN!PLEASE CONTACT US !Type of the vessel : ContainerDuration of the contract : 4 +/-1mnthSalary : 7993 $/ mnthEnglish is required.Tel.: +38 093 116 52 17(ONLY VIBER, WHATSAPP,TELERGRAM) , pic : Veronica,
"
465487,Chief Engineer,$ 9 650 - $ 10 250 per month,Container Ship,Worldwide,19/11/2024,4 months,Liberia,
472712,2nd Engineer,$ 8 000 - $ 11 000 per month,LPG / LNG,,25/11/2024,5 months,,"
Information about vacancy 2nd Engineer (for LPG / LNG):
Ammonia Carrier;Promotion Prospects;Internet Facility on board;Promotion Prospects
"
473800,Electrician,$ 5 800 per month,Bulk Carrier,,13/12/2024,4 months,Germany,
454270,ETO,$ 5 800 - $ 6 200 per month,Container Ship,Latin America,05/12/2024,4 months,Singapore,
466751,Chief Engineer,$ 4 000 - $ 4 300 per month,Power Station Vessel,Black Sea,25/11/2024,4 months,Liberia,"
Information about vacancy Chief Engineer (for Power Station Vessel):
ПОСАДКА В УКРАИНЕ• Duration - 4(+-1) months• Type of vessel - Power Station 3310 dwt• Location – port of Ukraine• Верификация на руках• Обновленные данные в РЕЗЕРВ+ - ВЫДАЕТСЯ БРОНЬ НА ПЕРИОД РАБОТЫ• Тема письма для Application Form - ""Power Station Vessel"" !!Наши контакты:Apply via Maritime ZoneOffice - +380 (48) 737 55 33 WhatsApp / Viber / Telegram - +380 (63) 73 755 33
"
472342,Master,$ 8 611 per month,General cargo,,30/11/2024,5 months,Norway,
474015,Wiper,$ 1 327 per month,Chemical tanker,,24/11/2024,4 months,,
466028,Chief Officer,$ 6 800 per month,General cargo,,05/12/2024,4 months,Liberia,"
Information about vacancy Chief Officer (for General cargo):
experience on similar vessels requiredEnglish knowledge is required
"
470810,2nd Officer,$ 3 500 - $ 3 700 per month,Bulk Carrier,,25/11/2024,5 months,,
467286,2nd Officer,$ 3 800 - $ 4 500 per month,Container Ship,,01/12/2024,5 months,Cyprus,"
Information about vacancy 2nd Officer (for Container Ship):
We are looking for 2O candidates for Container Ship ( Apply via Maritime Zone -  DWT ).We need to highlight that the final wage depends on seafarer's experience. Please mention in CV Your full Sea Service in rankWe offer the following bonuses:- Loyalty bonus- Medical insuranceIn case of interest please apply for this vacancy here or send Your CV directly to the crewing department 
"
462293,Chief Engineer,$ 7 400 per month,General cargo,Baltic Sea,05/12/2024,4 months,Antigua and Barbuda,"
Information about vacancy Chief Engineer (for General cargo):
Re-joining bonus element is applicable (EUR Apply via Maritime Zone payable with the first wages upon re-joining, pro-rata based on previous contract duration
"
452625,3rd Engineer,$ 4 800 per month,Container Ship,,30/11/2024,4 months,Liberia,
